Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A448342,OWNER SUR,12/26/2024,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,
A513657,OWNER SUR,01/02/2025,SIMBA,DOG,2 YEARS,MED,BLACK / WHITE,GERM SHEPHERD / ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513657&location=MONT,
A524562,OWNER SUR,10/13/2024,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,
A526729,OWNER SUR,12/20/2024,JAXON,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526729&location=MONT,
A525264,OWNER SUR,11/01/2024,HARLEY,DOG,2 YEARS,MED,CHOCOLATE / WHITE,NS DUCK TOLLING / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525264&location=MONT,
A502079,RETURN,01/16/2025,DA VINCI,DOG,3 YEARS,SMALL,BLACK / BROWN,PUG / BEAGLE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502079&location=MONT,
A519442,OWNER SUR,12/26/2024,*TOOTSIE ROLL,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519442&location=MONT,
A498323,OWNER SUR,01/28/2025,CAESAR,DOG,4 YEARS,MED,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A498323&location=MONT,
A526843,OWNER SUR,12/24/2024,*BUMBLEBEE,DOG,10 MONTHS,MED,BLACK,ROTTWEILER / AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526843&location=MONT,
A516723,OWNER SUR,12/26/2024,ACE,DOG,1 YEAR 9 MONTHS,LARGE,WHITE,DOGO ARGENTINO,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516723&location=MONT,
A526572,OWNER SUR,12/13/2024,GINGER,OTHER,2 YEARS,MED,TAN,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526572&location=MONT,
A515162,FOSTER,02/08/2025,RACKS,DOG,1 YEAR 10 MONTHS,MED,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515162&location=MONT,
A523441,RETURN,01/02/2025,CHANEL-DIAMOND,DOG,3 YEARS,LARGE,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523441&location=MONT,
A527313,TRANSFER,01/31/2025,*SNUGGLEWUMPS,DOG,7 MONTHS,PUPPY,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527313&location=MONT,
A527873,EUTH REQ,01/31/2025,OREO,DOG,6 YEARS,MED,TICKING,AUST CATTLE DOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527873&location=MONT,
A527607,OWNER SUR,01/22/2025,*BOOTS,CAT,3 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527607&location=MONT,
A523689,FOSTER,02/18/2025,CASH,DOG,8 YEARS,MED,BRINDLE / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523689&location=MONT,
A476852,RETURN,12/04/2024,TAZ,DOG,6 YEARS,MED,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476852&location=MONT,
A515839,OWNER SUR,02/15/2025,DUTCHESS,DOG,2 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A515839&location=MONT,
A526170,OWNER SUR,12/02/2024,*MACHO,DOG,1 YEAR 2 MONTHS,LARGE,TAN / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526170&location=MONT,
A522706,FOSTER,10/18/2024,*ARNOLD,DOG,1 YEAR 6 MONTHS,LARGE,BROWN,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522706&location=MONT,
A513364,OWNER SUR,02/19/2025,VIRGINIA,DOG,4 YEARS,MED,BLACK / WHITE,POINTER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513364&location=MONT,
A527769,OWNER SUR,01/27/2025,JENNY,OTHER,7 YEARS,MED,BLACK,REX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527769&location=MONT,
A397410,OWNER SUR,01/24/2025,LOLA,CAT,14 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A397410&location=MONT,
A527936,EUTH REQ,02/02/2025,MAX,CAT,1 YEAR 9 MONTHS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527936&location=MONT,
