Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing,Council Districts,Councils,Communities,Zip Codes,Municipalities
A448342,OWNER SUR,2024-12-26T00:00:00,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,NA,NA,NA,NA,NA,NA
A513657,OWNER SUR,2025-01-02T00:00:00,SIMBA,DOG,2 YEARS,MED,BLACK / WHITE,GERM SHEPHERD / ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513657&location=MONT,NA,NA,NA,NA,NA,NA
A524562,OWNER SUR,2024-10-13T00:00:00,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,NA,NA,NA,NA,NA,NA
A526729,OWNER SUR,2024-12-20T00:00:00,JAXON,DOG,3 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526729&location=MONT,NA,NA,NA,NA,NA,NA
A525264,OWNER SUR,2024-11-01T00:00:00,HARLEY,DOG,2 YEARS,MED,CHOCOLATE / WHITE,NS DUCK TOLLING / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525264&location=MONT,NA,NA,NA,NA,NA,NA
A502079,RETURN,2025-01-16T00:00:00,DA VINCI,DOG,3 YEARS,SMALL,BLACK / BROWN,PUG / BEAGLE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502079&location=MONT,NA,NA,NA,NA,NA,NA
A519442,OWNER SUR,2024-12-26T00:00:00,*TOOTSIE ROLL,DOG,3 YEARS,MED,BROWN / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A519442&location=MONT,NA,NA,NA,NA,NA,NA
A498323,OWNER SUR,2025-01-28T00:00:00,CAESAR,DOG,4 YEARS,MED,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A498323&location=MONT,NA,NA,NA,NA,NA,NA
A526572,OWNER SUR,2024-12-13T00:00:00,GINGER,OTHER,2 YEARS,MED,TAN,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526572&location=MONT,NA,NA,NA,NA,NA,NA
A527607,OWNER SUR,2025-01-22T00:00:00,*BOOTS,CAT,3 YEARS,MED,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527607&location=MONT,NA,NA,NA,NA,NA,NA
A476852,RETURN,2024-12-04T00:00:00,TAZ,DOG,6 YEARS,MED,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476852&location=MONT,NA,NA,NA,NA,NA,NA
A513364,OWNER SUR,2025-02-19T00:00:00,VIRGINIA,DOG,4 YEARS,MED,BLACK / WHITE,POINTER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513364&location=MONT,NA,NA,NA,NA,NA,NA
A527769,OWNER SUR,2025-01-27T00:00:00,JENNY,OTHER,7 YEARS,MED,BLACK,REX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527769&location=MONT,NA,NA,NA,NA,NA,NA
A528447,OWNER SUR,2025-02-22T00:00:00,WILLIE,OTHER,4 YEARS,MED,BROWN,TURTLE / REDEARED SLIDER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528447&location=MONT,NA,NA,NA,NA,NA,NA
A528291,OWNER SUR,2025-02-16T00:00:00,SASHA,DOG,5 YEARS,SMALL,TAN,FRENCH BULLDOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528291&location=MONT,NA,NA,NA,NA,NA,NA
A379447,OWNER SUR,2025-02-23T00:00:00,*HALO,CAT,11 YEARS,SMALL,CRM TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A379447&location=MONT,NA,NA,NA,NA,NA,NA
A528182,OWNER SUR,2025-02-11T00:00:00,GANDALF,OTHER,5 YEARS,MED,WHITE,LIONHEAD,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528182&location=MONT,NA,NA,NA,NA,NA,NA
A527073,RETURN,2025-02-23T00:00:00,*WRASTLER,DOG,2 YEARS,LARGE,WHITE / BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527073&location=MONT,NA,NA,NA,NA,NA,NA
A528286,OWNER SUR,2025-02-16T00:00:00,CANELO,DOG,2 YEARS,MED,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528286&location=MONT,NA,NA,NA,NA,NA,NA
A527923,OWNER SUR,2025-02-01T00:00:00,MAX,DOG,4 YEARS,MED,GRAY / WHITE,BOXER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527923&location=MONT,NA,NA,NA,NA,NA,NA
A527757,BOARDING,2025-01-27T00:00:00,*FINN,DOG,2 YEARS,LARGE,WHITE / GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527757&location=MONT,NA,NA,NA,NA,NA,NA
A528051,RETURN,2025-02-25T00:00:00,ROXIE,DOG,11 MONTHS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528051&location=MONT,NA,NA,NA,NA,NA,NA
A516723,OWNER SUR,2024-12-26T00:00:00,ACE,DOG,1 YEAR 10 MONTHS,LARGE,WHITE,DOGO ARGENTINO,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516723&location=MONT,NA,NA,NA,NA,NA,NA
A528186,OWNER SUR,2025-02-11T00:00:00,CRESCENDO,OTHER,1 YEAR 1 MONTH,SMALL,WHITE,LIONHEAD,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528186&location=MONT,NA,NA,NA,NA,NA,NA
A528185,OWNER SUR,2025-02-11T00:00:00,PIANISSIMO,OTHER,1 YEAR 1 MONTH,SMALL,WHITE,LIONHEAD,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528185&location=MONT,NA,NA,NA,NA,NA,NA
A526843,OWNER SUR,2024-12-24T00:00:00,*BUMBLEBEE,DOG,11 MONTHS,MED,BLACK,ROTTWEILER / AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526843&location=MONT,NA,NA,NA,NA,NA,NA
A526170,OWNER SUR,2024-12-02T00:00:00,*MACHO,DOG,1 YEAR 3 MONTHS,LARGE,TAN / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526170&location=MONT,NA,NA,NA,NA,NA,NA
A502797,OWNER SUR,2025-02-25T00:00:00,PIEDMONT,DOG,3 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A502797&location=MONT,NA,NA,NA,NA,NA,NA
A520093,RETURN,2025-02-24T00:00:00,*IGGY,DOG,1 YEAR 7 MONTHS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520093&location=MONT,NA,NA,NA,NA,NA,NA
A528500,OWNER SUR,2025-02-23T00:00:00,*SHAKESPEARE,BIRD,1 YEAR 4 MONTHS,MED,BROWN / BLACK,FINCH,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528500&location=MONT,NA,NA,NA,NA,NA,NA
